"NEGA";"NE";"Kunstgeschichte";;;
"NEGA01000";"NEGA";"Kunstgeschichte";;;"page=544"
"NEGA01010";"NEGA01000";"Kunst i.w.S. (mehrere Künste)";"lkl=ga? or lkl=gb?";;"page=544"
"NEGA01020";"NEGA01000";"Bildende Kunst, Allgemeines, Wissenschaftsgeschichte, Denkmalpflege";"lkl=ge ?";;"page=544"
"NEGA01030";"NEGA01000";"Kunstmuseen, Kunstsammlungen, Kunstausstellungen, Kunstgalerien";"lkl=gea?";;"page=544"
"NEGA01040";"NEGA01000";"Allgemeine und vergleichende Kunstwissenschaft";"lkl=geb?";;"page=544"
"NEGA01050";"NEGA01000";"Ikonographie, Ikonologie";"lkl=gec?";;"page=544"
"NEGA01060";"NEGA01000";"Allgemeine Kunstgeschichte nach Epochen und Regionen";"lkl=ged?";;"page=544"
"NEGA01070";"NEGA01000";"Malerei";"lkl=geg?";;"page=544"
"NEGA01080";"NEGA01000";"Graphik, Zeichenkunst";"lkl=geh?";;"page=544"
"NEGA01090";"NEGA01000";"Plastik";"lkl=gek?";;"page=544"
"NEGA01100";"NEGA01000";"Architektur";"lkl=gel?";;"page=544"
"NEGA01110";"NEGA01000";"Kunstgewerbe, Kunsthandwerk";"lkl=gem?";;"page=544"
"NEGA01120";"NEGA01000";"Sonstige Gattungen";"lkl=gen? or lkl=geo? or lkl=gep?";;"page=544"
"NEGA01130";"NEGA01000";"Der bildende Künstler allgemein";"lkl=gg?";;"page=544"
"NEGA01140";"NEGA01000";"Einzelne bildende Künstler";"lkl=gh?";;"page=544"
