"NEGU";"NE";"Musik";;;
"NEGU01000";"NEGU";"Musik";;;"page=572"
"NEGU01010";"NEGU01000";"Musikwissenschaft, Allgemeines";"lkl=gu 0? or lkl=gu 1? or lkl=gu 2? or lkl=gu 3? or lkl=gu 4? or lkl=gu 5? or lkl=gu 6?";;"page=572"
"NEGU01020";"NEGU01000";"Musikalische Berufslehre, Studium, Musikerorganisationen";"lkl=gu 8?";;"page=572"
"NEGU01030";"NEGU01000";"Systematische Musikwissenschaft, Vergleichende Musikwissenschaft, Musikanthropologie, Allgemeines";"lkl=guc?";;"page=572"
"NEGU01040";"NEGU01000";"Instrumentenkunde, Instrumentenspieltechnik, Instrumentalunterricht, Allgemeines";"lkl=gue?";;"page=572"
"NEGU01050";"NEGU01000";"Musikgeschichte";"lkl=gug?";;"page=572"
"NEGU01060";"NEGU01000";"Volksmusik Europa";"lkl=guk?";;"page=572"
"NEGU01070";"NEGU01000";"Vokalmusik";"lkl=gum?";;"page=572"
"NEGU01080";"NEGU01000";"Instrumentalmusik";"lkl=gun?";;"page=572"
"NEGU01090";"NEGU01000";"Oper, Bühnen- und Medienmusik";"lkl=guo?";;"page=572"
"NEGU01100";"NEGU01000";"Kirchenmusik und liturgische Musik der Weltreligionen";"lkl=gur?";;"page=572"
"NEGU01110";"NEGU01000";"Jazz";"lkl=gut?";;"page=572"
"NEGU01120";"NEGU01000";"Populäre Musik, U-Musik, Salonmusik";"lkl=guu?";;"page=572"
"NEGU01130";"NEGU01000";"Einzelne Musiker, Erl.: Komponisten, Interpreten";"lkl=gy ?";;"page=572"
"NEGU01140";"NEGU01000";"Anonyme Kompositionen, Erl.: Editionen und Analyse";"lkl=gya?";;"page=572"
"NEGU01150";"NEGU01000";"Musiksammlungen, Erl.: Editionen und Analyse";"lkl=gys?";;"page=572"
